1896 1866 1042 1490 3832 3932 1621 2784 2891 4319 4516 3169 2241 1608 1934 341 436 1440 3425 4169
2031 1572 1303 3318 4035 3052 3907 1244 1708 4236 3621 3383 2207 1883 584 690 3773 321 2067 3828
4751 1180 2799 3219 3173 3769 170 948 1442 1040 1128 357 618 1595 4936 2104 4474 302 4272 2270
660 3409 2497 53 3141 2006 2548 2568 3609 101 3263 3327 2668 3872 4132 1335 3715 3441 3557 4609
3913 3792 2242 1818 2134 3501 2434 130 3859 3035 2200 1106 187 41 996 1319 3634 4541 1814 3666
2009 1735 1534 3162 1743 1929 32 4085 3344 2048 3507 3659 3960 3466 3874 4054 3287 4900 1371 509
2572 68 3070 26 4017 3660 4871 4412 4064 2417 2715 4697 773 1679 372 4662 753 2369 1247 2735
2 4419 2712 4299 2575 777 50 1046 4410 3398 3383 3581 1929 2318 3966 507 4772 3158 1426 1306
712 3049 3939 3965 1650 2536 2612 2508 3120 2180 2006 3318 3761 4022 4870 4427 594 868 1188 3670
374 2758 742 2042 1566 2871 3254 2814 2857 567 2726 4897 2224 755 1415 1945 509 1191 2113 4690
1039 884 3103 3481 1978 4073 3889 4703 4024 2305 1333 884 4249 2474 446 1732 2683 2186 3781 2767
4139 4980 158 2843 2953 327 4027 4195 2911 4746 4275 2720 1801 4944 3407 1447 3423 1579 1754 731
3633 1247 1760 3233 1532 704 3721 1303 3084 3663 2712 724 3304 3662 2297 4817 4007 2151 1852 150
583 2083 651 1642 497 4460 3424 626 2942 1625 4753 4066 385 4218 84 3873 299 1035 705 2579
889 735 319 4322 1771 1455 485 4516 10 3597 2844 1994 4405 2339 3406 1700 1083 366 4228 3888
2060 2134 3298 1518 81 3989 3536 1756 4071 3745 81 4299 3070 3260 2021 481 1874 772 1813 2271
1767 4137 1195 4973 4581 1667 203 2936 1134 3303 847 753 4929 3267 1974 4431 4041 988 1680 17
4965 1665 2468 1143 4609 413 2398 1068 4194 625 3186 573 4443 1031 1763 1919 1279 4809 3237 120
4775 3546 1450 5 3742 2153 186 2947 887 656 4005 4337 3727 3426 3144 3984 2920 4851 3779 2927
1568 4186 2129 647 1529 173 1761 2554 1652 3342 3980 3111 733 1707 2700 4982 2593 1422 2574 4143
2437 3128 3329 1282 1698 4905 4696 903 4054 1271 1745 683 1633 2216 1472 2874 1820 1652 4887 3860
4324 4874 1121 235 2279 2737 4704 3872 2113 236 2361 2523 3246 4077 3867 362 3214 4554 2813 1272
2661 4655 4664 205 1576 2979 4940 218 2130 784 3368 582 2551 1447 4836 4206 378 1085 4317 1982
2219 3386 3925 3475 4479 2229 3514 2169 491 561 3880 808 633 334 930 4282 1567 4146 4165 778
1037 2827 2765 4457 3867 468 2525 1497 2365 4887 4931 1745 38 4623 2508 1028 4534 2822 470 3892
2790 602 4265 2457 3295 3773 4408 2628 3326 1546 1824 187 3003 2533 402 637 4430 2581 4668 1650
2410 3224 4709 2905 2309 207 1129 2420 4154 4591 2019 1084 3631 4368 1779 3506 1467 4605 168 1651
1894 1456 1148 3862 3920 4822 1681 4366 4490 2524 2782 218 27 791 44 4897 2495 840 629 4830
3276 2576 3693 266 2991 3913 3602 1247 3597 2056 498 2532 948 3881 268 4195 1598 1997 4037 441
2934 4293 2337 2086 1695 4687 859 3447 4253 4754 123 3342 3127 1534 891 3232 3495 556 4352 3079
1679 4434 1086 4224 3567 3863 3137 2120 4604 2051 2474 1292 1031 3621 4583 3839 3801 824 3129 4396
4668 2238 1153 2136 3303 390 223 403 1154 610 1553 3461 3415 826 2067 358 4501 4214 1746 1865
1388 446 2813 3564 3540 855 2987 1132 2426 165 30 4455 1969 512 3876 3232 3188 3043 1060 3831
2175 1754 1450 1682 4381 861 2629 1703 3140 2153 3509 4135 4206 1249 4466 2007 2471 352 3156 2428
807 752 2992 2002 664 681 4200 982 2412 41 1818 2090 2790 1894 2895 4466 501 1560 4307 3083
2231 1054 2277 1767 4740 1391 2245 297 805 4155 1608 4028 4540 4777 1601 1901 1978 1089 2761 3842
2122 2922 3159 1034 694 922 3831 903 4924 1836 3040 4540 2562 3661 4750 4998 1149 55 3567 4137
